userid, Horse1, position a1/, 1, sample_timestamp, 12:17:49, received timestamp, 24/10:46:51
userid, Horse1, temp a1/, 23.49, sample_timestamp, 12:17:49, received timestamp, 24/10:46:51
userid, Horse1, quality a1/, 1.7505534226508377, sample_timestamp, 12:17:49, received timestamp, 24/10:46:51
